hp_range,fruityard,maximum,number_of_gears,shuttle_Mechanical Shuttle,shuttle_No Shuttle,shuttle_No shuttle,shuttle_Power Shuttle,shift_position_center,shift_position_side,transmission_type_Not Synchronized,transmission_type_Not synchronized,transmission_type_Synchronized,injection_types_electronical,injection_types_mechanical,lifting_capacity,maximum_flow,maximum_torque,memo_speed_function,vcr,operator_environment_Cabin,operator_environment_Platform,operator_environment_Sem Platform,rated_pto_speed,seat_suspension_Mech. Vertical,seat_suspension_Pneumatic,control_interface_automatic,control_interface_button,control_interface_by lever,guidance_function,steering_wheel_adjustment_fixed,steering_wheel_adjustment_tilt+telescopic,steering_wheel_adjustment_tiltable,tank_capacity,telemetry,turning_radius,dashboard_analog,dashboard_digital,weight,outside_control_no,outside_control_optional,outside_control_yes,wheelbase
98.0,0,0.2159798327648516,48.0,False,False,True,False,False,True,False,False,True,True,False,0.13375787793866284,0.20464628343272176,0.36104054491565585,1.0,0.0,False,True,False,0.0,True,False,False,False,True,0.0,True,False,False,-0.15903667391181853,0,0.7674418604651163,True,False,0.24758774101756473,True,False,False,0.1436901471561377
98.0,0,0.2159798327648516,48.0,False,False,True,False,False,True,False,False,True,True,False,0.13375787793866284,0.20464628343272176,0.36104054491565585,1.0,0.0,False,True,False,0.0,True,False,False,False,True,0.0,True,False,False,0.5825388280365486,0,0.7674418604651163,True,False,0.24758774101756473,True,False,False,0.1436901471561377
55.5,0,-2.053175372232956,16.0,False,False,True,False,True,False,False,True,False,False,True,-1.2116138330454185,-2.4436526640003997,-1.8443957184145696,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,True,False,False,-1.2184302481237714,1,0.3953488372093026,True,False,-1.5501187377938723,True,False,False,-1.6480352504646827
65.5,0,-1.548918660011221,16.0,False,False,True,False,True,False,False,True,False,False,True,-1.2116138330454185,-0.5259189434453807,-1.4033084657485246,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,True,False,False,-1.2184302481237714,1,0.3953488372093026,True,False,-1.1506284091691086,True,False,False,-1.6480352504646827
75.5,0,-1.044661947789486,48.0,False,False,True,False,False,True,False,False,True,False,True,-1.2116138330454185,-0.5259189434453807,-1.2820094712653622,1.0,0.0,False,False,True,0.0,True,False,False,False,True,0.0,True,False,False,-1.2184302481237714,1,0.3953488372093026,True,False,-0.7511380805443447,True,False,False,-1.6480352504646827
75.5,0,-0.9942362765673125,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.7196232241161546,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,-0.7511380805443447,False,True,False,-0.8070212883161344
75.5,0,-0.9942362765673125,144.0,False,False,False,True,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.7196232241161546,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,-0.7511380805443447,False,True,False,-0.8070212883161344
75.5,0,-0.9942362765673125,144.0,False,False,False,True,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.7196232241161546,0.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.15878139835176736,1,1.0,True,False,-0.7511380805443447,False,True,False,-0.8070212883161344
75.5,0,-0.9942362765673125,144.0,True,False,False,False,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.7196232241161546,0.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,0.5825388280365486,1,1.0,True,False,-0.7511380805443447,False,True,False,-0.8070212883161344
75.5,0,-0.9942362765673125,144.0,False,False,False,True,False,True,False,False,True,True,False,-0.694163174974618,-0.2519569833660923,-0.7196232241161546,0.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,0.5825388280365486,1,1.0,True,False,-0.7511380805443447,False,True,False,-0.8070212883161344
